Date,Blood_Type,Actual_Donations,Predicted_Donations,Variance,Day_of_Week,Is_Weekend,Is_Holiday,Is_Ramadan,Data_Type
2022-03-28,A,376.0,250,-126.0,Monday,0,0,0,Historical
2022-03-29,A,477.0,334,-143.0,Tuesday,0,0,0,Historical
2022-03-29,AB,119.0,87,-32.0,Tuesday,0,0,0,Historical
2022-03-29,B,592.0,418,-174.0,Tuesday,0,0,0,Historical
2022-03-29,O,924.0,581,-343.0,Tuesday,0,0,0,Historical
2022-03-30,A,426.0,398,-28.0,Wednesday,0,0,0,Historical
2022-03-30,AB,97.0,81,-16.0,Wednesday,0,0,0,Historical
2022-03-30,B,480.0,451,-29.0,Wednesday,0,0,0,Historical
2022-03-30,O,766.0,715,-51.0,Wednesday,0,0,0,Historical
2022-03-31,A,560.0,378,-182.0,Thursday,0,0,0,Historical
2022-03-31,AB,141.0,90,-51.0,Thursday,0,0,0,Historical
2022-03-31,B,623.0,415,-208.0,Thursday,0,0,0,Historical
2022-03-31,O,939.0,644,-295.0,Thursday,0,0,0,Historical
2022-04-01,A,389.0,241,-148.0,Friday,0,0,0,Historical
2022-04-01,AB,82.0,50,-32.0,Friday,0,0,0,Historical
2022-04-01,B,417.0,325,-92.0,Friday,0,0,0,Historical
2022-04-01,O,686.0,399,-287.0,Friday,0,0,0,Historical
2022-04-02,A,650.0,313,-337.0,Saturday,1,0,1,Historical
2022-04-02,AB,129.0,84,-45.0,Saturday,1,0,1,Historical
2022-04-02,B,706.0,377,-329.0,Saturday,1,0,1,Historical
2022-04-02,O,1038.0,677,-361.0,Saturday,1,0,1,Historical
2022-04-03,A,452.0,592,140.0,Sunday,1,0,1,Historical
2022-04-03,AB,93.0,130,37.0,Sunday,1,0,1,Historical
2022-04-03,B,418.0,780,362.0,Sunday,1,0,1,Historical
2022-04-03,O,837.0,1016,179.0,Sunday,1,0,1,Historical
2022-04-04,A,140.0,156,16.0,Monday,0,0,1,Historical
2022-04-04,AB,29.0,38,9.0,Monday,0,0,1,Historical
2022-04-04,B,150.0,69,-81.0,Monday,0,0,1,Historical
2022-04-04,O,266.0,124,-142.0,Monday,0,0,1,Historical
2022-04-05,A,166.0,203,37.0,Tuesday,0,0,1,Historical
2022-04-05,AB,50.0,47,-3.0,Tuesday,0,0,1,Historical
2022-04-05,B,193.0,160,-33.0,Tuesday,0,0,1,Historical
2022-04-05,O,310.0,225,-85.0,Tuesday,0,0,1,Historical
2022-04-06,A,191.0,196,5.0,Wednesday,0,0,1,Historical
2022-04-06,AB,44.0,58,14.0,Wednesday,0,0,1,Historical
2022-04-06,B,215.0,227,12.0,Wednesday,0,0,1,Historical
2022-04-06,O,318.0,385,67.0,Wednesday,0,0,1,Historical
2022-04-07,A,220.0,192,-28.0,Thursday,0,0,1,Historical
2022-04-07,AB,45.0,52,7.0,Thursday,0,0,1,Historical
2022-04-07,B,226.0,215,-11.0,Thursday,0,0,1,Historical
2022-04-07,O,393.0,388,-5.0,Thursday,0,0,1,Historical
2022-04-08,A,211.0,156,-55.0,Friday,0,0,1,Historical
2022-04-08,AB,50.0,33,-17.0,Friday,0,0,1,Historical
2022-04-08,B,252.0,161,-91.0,Friday,0,0,1,Historical
2022-04-08,O,363.0,275,-88.0,Friday,0,0,1,Historical
2022-04-09,A,393.0,402,9.0,Saturday,1,0,1,Historical
2022-04-09,AB,101.0,81,-20.0,Saturday,1,0,1,Historical
2022-04-09,B,404.0,484,80.0,Saturday,1,0,1,Historical
2022-04-09,O,623.0,644,21.0,Saturday,1,0,1,Historical
2022-04-10,A,643.0,594,-49.0,Sunday,1,0,1,Historical
2022-04-10,AB,136.0,121,-15.0,Sunday,1,0,1,Historical
2022-04-10,B,726.0,589,-137.0,Sunday,1,0,1,Historical
2022-04-10,O,1139.0,1014,-125.0,Sunday,1,0,1,Historical
2022-04-11,A,144.0,160,16.0,Monday,0,0,1,Historical
2022-04-11,AB,31.0,37,6.0,Monday,0,0,1,Historical
2022-04-11,B,151.0,163,12.0,Monday,0,0,1,Historical
2022-04-11,O,215.0,240,25.0,Monday,0,0,1,Historical
2022-04-12,A,224.0,188,-36.0,Tuesday,0,0,1,Historical
2022-04-12,AB,42.0,39,-3.0,Tuesday,0,0,1,Historical
2022-04-12,B,260.0,217,-43.0,Tuesday,0,0,1,Historical
2022-04-12,O,377.0,280,-97.0,Tuesday,0,0,1,Historical
2022-04-13,A,267.0,264,-3.0,Wednesday,0,0,1,Historical
2022-04-13,AB,66.0,40,-26.0,Wednesday,0,0,1,Historical
2022-04-13,B,343.0,294,-49.0,Wednesday,0,0,1,Historical
2022-04-13,O,496.0,470,-26.0,Wednesday,0,0,1,Historical
2022-04-14,A,276.0,256,-20.0,Thursday,0,0,1,Historical
2022-04-14,AB,83.0,53,-30.0,Thursday,0,0,1,Historical
2022-04-14,B,309.0,303,-6.0,Thursday,0,0,1,Historical
2022-04-14,O,481.0,481,0.0,Thursday,0,0,1,Historical
2022-04-15,A,273.0,209,-64.0,Friday,0,0,1,Historical
2022-04-15,AB,66.0,40,-26.0,Friday,0,0,1,Historical
2022-04-15,B,310.0,203,-107.0,Friday,0,0,1,Historical
2022-04-15,O,477.0,342,-135.0,Friday,0,0,1,Historical
2022-04-16,A,428.0,419,-9.0,Saturday,1,0,1,Historical
2022-04-16,AB,95.0,87,-8.0,Saturday,1,0,1,Historical
2022-04-16,B,498.0,446,-52.0,Saturday,1,0,1,Historical
2022-04-16,O,764.0,644,-120.0,Saturday,1,0,1,Historical
2022-04-17,A,732.0,600,-132.0,Sunday,1,0,1,Historical
2022-04-17,AB,162.0,129,-33.0,Sunday,1,0,1,Historical
2022-04-17,B,678.0,632,-46.0,Sunday,1,0,1,Historical
2022-04-17,O,1186.0,1051,-135.0,Sunday,1,0,1,Historical
2022-04-18,A,178.0,179,1.0,Monday,0,0,1,Historical
2022-04-18,AB,41.0,36,-5.0,Monday,0,0,1,Historical
2022-04-18,B,200.0,211,11.0,Monday,0,0,1,Historical
2022-04-18,O,303.0,332,29.0,Monday,0,0,1,Historical
2022-04-19,A,319.0,278,-41.0,Tuesday,0,1,1,Historical
2022-04-19,AB,65.0,63,-2.0,Tuesday,0,1,1,Historical
2022-04-19,B,311.0,293,-18.0,Tuesday,0,1,1,Historical
2022-04-19,O,570.0,443,-127.0,Tuesday,0,1,1,Historical
2022-04-20,A,233.0,271,38.0,Wednesday,0,0,1,Historical
2022-04-20,AB,60.0,56,-4.0,Wednesday,0,0,1,Historical
2022-04-20,B,266.0,297,31.0,Wednesday,0,0,1,Historical
2022-04-20,O,383.0,466,83.0,Wednesday,0,0,1,Historical
2022-04-21,A,221.0,258,37.0,Thursday,0,0,1,Historical
2022-04-21,AB,59.0,53,-6.0,Thursday,0,0,1,Historical
2022-04-21,B,281.0,285,4.0,Thursday,0,0,1,Historical
2022-04-21,O,403.0,406,3.0,Thursday,0,0,1,Historical
2022-04-22,A,215.0,177,-38.0,Friday,0,0,1,Historical
2022-04-22,AB,41.0,41,0.0,Friday,0,0,1,Historical
2022-04-22,B,202.0,199,-3.0,Friday,0,0,1,Historical
2022-04-22,O,421.0,325,-96.0,Friday,0,0,1,Historical
2022-04-23,A,409.0,338,-71.0,Saturday,1,0,1,Historical
2022-04-23,AB,86.0,73,-13.0,Saturday,1,0,1,Historical
2022-04-23,B,408.0,349,-59.0,Saturday,1,0,1,Historical
2022-04-23,O,647.0,591,-56.0,Saturday,1,0,1,Historical
2022-04-24,A,698.0,604,-94.0,Sunday,1,0,1,Historical
2022-04-24,AB,146.0,134,-12.0,Sunday,1,0,1,Historical
2022-04-24,B,691.0,611,-80.0,Sunday,1,0,1,Historical
2022-04-24,O,1258.0,1020,-238.0,Sunday,1,0,1,Historical
2022-04-25,A,228.0,167,-61.0,Monday,0,0,1,Historical
2022-04-25,AB,63.0,30,-33.0,Monday,0,0,1,Historical
2022-04-25,B,294.0,180,-114.0,Monday,0,0,1,Historical
2022-04-25,O,442.0,253,-189.0,Monday,0,0,1,Historical
2022-04-26,A,246.0,245,-1.0,Tuesday,0,0,1,Historical
2022-04-26,AB,55.0,54,-1.0,Tuesday,0,0,1,Historical
2022-04-26,B,254.0,273,19.0,Tuesday,0,0,1,Historical
2022-04-26,O,395.0,401,6.0,Tuesday,0,0,1,Historical
2022-04-27,A,196.0,250,54.0,Wednesday,0,0,1,Historical
2022-04-27,AB,35.0,50,15.0,Wednesday,0,0,1,Historical
2022-04-27,B,235.0,289,54.0,Wednesday,0,0,1,Historical
2022-04-27,O,381.0,453,72.0,Wednesday,0,0,1,Historical
2022-04-28,A,226.0,237,11.0,Thursday,0,0,1,Historical
2022-04-28,AB,57.0,47,-10.0,Thursday,0,0,1,Historical
2022-04-28,B,270.0,274,4.0,Thursday,0,0,1,Historical
2022-04-28,O,406.0,435,29.0,Thursday,0,0,1,Historical
2022-04-29,A,231.0,194,-37.0,Friday,0,0,1,Historical
2022-04-29,AB,39.0,39,0.0,Friday,0,0,1,Historical
2022-04-29,B,203.0,234,31.0,Friday,0,0,1,Historical
2022-04-29,O,436.0,332,-104.0,Friday,0,0,1,Historical
2022-04-30,A,294.0,325,31.0,Saturday,1,0,1,Historical
2022-04-30,AB,91.0,54,-37.0,Saturday,1,0,1,Historical
2022-04-30,B,361.0,342,-19.0,Saturday,1,0,1,Historical
2022-04-30,O,567.0,616,49.0,Saturday,1,0,1,Historical
2022-05-01,A,679.0,878,199.0,Sunday,1,1,0,Historical
2022-05-01,AB,142.0,303,161.0,Sunday,1,1,0,Historical
2022-05-01,B,662.0,902,240.0,Sunday,1,1,0,Historical
2022-05-01,O,1139.0,1356,217.0,Sunday,1,1,0,Historical
2022-05-02,A,5.0,398,393.0,Monday,0,1,0,Historical
2022-05-02,AB,0.0,125,125.0,Monday,0,1,0,Historical
2022-05-02,B,3.0,438,435.0,Monday,0,1,0,Historical
2022-05-02,O,6.0,717,711.0,Monday,0,1,0,Historical
2022-05-03,A,48.0,360,312.0,Tuesday,0,1,0,Historical
2022-05-03,AB,12.0,130,118.0,Tuesday,0,1,0,Historical
2022-05-03,B,29.0,409,380.0,Tuesday,0,1,0,Historical
2022-05-03,O,76.0,557,481.0,Tuesday,0,1,0,Historical
2022-05-04,A,130.0,286,156.0,Wednesday,0,1,0,Historical
2022-05-04,AB,33.0,101,68.0,Wednesday,0,1,0,Historical
2022-05-04,B,132.0,314,182.0,Wednesday,0,1,0,Historical
2022-05-04,O,246.0,428,182.0,Wednesday,0,1,0,Historical
2022-05-05,A,297.0,204,-93.0,Thursday,0,0,0,Historical
2022-05-05,AB,54.0,31,-23.0,Thursday,0,0,0,Historical
2022-05-05,B,296.0,218,-78.0,Thursday,0,0,0,Historical
2022-05-05,O,488.0,339,-149.0,Thursday,0,0,0,Historical
2022-05-06,A,297.0,221,-76.0,Friday,0,0,0,Historical
2022-05-06,AB,52.0,52,0.0,Friday,0,0,0,Historical
2022-05-06,B,327.0,231,-96.0,Friday,0,0,0,Historical
2022-05-06,O,512.0,363,-149.0,Friday,0,0,0,Historical
2022-05-07,A,439.0,465,26.0,Saturday,1,0,0,Historical
2022-05-07,AB,102.0,118,16.0,Saturday,1,0,0,Historical
2022-05-07,B,453.0,487,34.0,Saturday,1,0,0,Historical
2022-05-07,O,695.0,782,87.0,Saturday,1,0,0,Historical
2022-05-08,A,727.0,659,-68.0,Sunday,1,0,0,Historical
2022-05-08,AB,159.0,143,-16.0,Sunday,1,0,0,Historical
2022-05-08,B,785.0,645,-140.0,Sunday,1,0,0,Historical
2022-05-08,O,1250.0,1088,-162.0,Sunday,1,0,0,Historical
2022-05-09,A,217.0,225,8.0,Monday,0,0,0,Historical
2022-05-09,AB,55.0,40,-15.0,Monday,0,0,0,Historical
2022-05-09,B,262.0,252,-10.0,Monday,0,0,0,Historical
2022-05-09,O,427.0,467,40.0,Monday,0,0,0,Historical
2022-05-10,A,355.0,268,-87.0,Tuesday,0,0,0,Historical
2022-05-10,AB,89.0,58,-31.0,Tuesday,0,0,0,Historical
2022-05-10,B,415.0,311,-104.0,Tuesday,0,0,0,Historical
2022-05-10,O,716.0,532,-184.0,Tuesday,0,0,0,Historical
2022-05-11,A,359.0,318,-41.0,Wednesday,0,0,0,Historical
2022-05-11,AB,78.0,65,-13.0,Wednesday,0,0,0,Historical
2022-05-11,B,413.0,356,-57.0,Wednesday,0,0,0,Historical
2022-05-11,O,696.0,568,-128.0,Wednesday,0,0,0,Historical
2022-05-12,A,420.0,346,-74.0,Thursday,0,0,0,Historical
2022-05-12,AB,104.0,66,-38.0,Thursday,0,0,0,Historical
2022-05-12,B,426.0,366,-60.0,Thursday,0,0,0,Historical
2022-05-12,O,767.0,593,-174.0,Thursday,0,0,0,Historical
2022-05-13,A,269.0,276,7.0,Friday,0,0,0,Historical
2022-05-13,AB,41.0,68,27.0,Friday,0,0,0,Historical
2022-05-13,B,269.0,308,39.0,Friday,0,0,0,Historical
2022-05-13,O,522.0,517,-5.0,Friday,0,0,0,Historical
2022-05-14,A,529.0,465,-64.0,Saturday,1,0,0,Historical
2022-05-14,AB,123.0,118,-5.0,Saturday,1,0,0,Historical
2022-05-14,B,539.0,500,-39.0,Saturday,1,0,0,Historical
2022-05-14,O,916.0,841,-75.0,Saturday,1,0,0,Historical
2022-05-15,A,803.0,621,-182.0,Sunday,1,1,0,Historical
2022-05-15,AB,181.0,95,-86.0,Sunday,1,1,0,Historical
2022-05-15,B,813.0,675,-138.0,Sunday,1,1,0,Historical
2022-05-15,O,1449.0,1217,-232.0,Sunday,1,1,0,Historical
2022-05-16,A,464.0,347,-117.0,Monday,0,1,0,Historical
2022-05-16,AB,93.0,67,-26.0,Monday,0,1,0,Historical
2022-05-16,B,482.0,384,-98.0,Monday,0,1,0,Historical
2022-05-16,O,781.0,725,-56.0,Monday,0,1,0,Historical
2022-05-17,A,301.0,403,102.0,Tuesday,0,0,0,Historical
2022-05-17,AB,77.0,78,1.0,Tuesday,0,0,0,Historical
2022-05-17,B,368.0,444,76.0,Tuesday,0,0,0,Historical
2022-05-17,O,549.0,673,124.0,Tuesday,0,0,0,Historical
2022-05-18,A,393.0,373,-20.0,Wednesday,0,0,0,Historical
2022-05-18,AB,96.0,74,-22.0,Wednesday,0,0,0,Historical
2022-05-18,B,377.0,414,37.0,Wednesday,0,0,0,Historical
2022-05-18,O,622.0,645,23.0,Wednesday,0,0,0,Historical
2022-05-19,A,375.0,375,0.0,Thursday,0,0,0,Historical
2022-05-19,AB,98.0,84,-14.0,Thursday,0,0,0,Historical
2022-05-19,B,485.0,384,-101.0,Thursday,0,0,0,Historical
2022-05-19,O,663.0,645,-18.0,Thursday,0,0,0,Historical
2022-05-20,A,281.0,258,-23.0,Friday,0,0,0,Historical
2022-05-20,AB,68.0,71,3.0,Friday,0,0,0,Historical
2022-05-20,B,334.0,280,-54.0,Friday,0,0,0,Historical
2022-05-20,O,522.0,501,-21.0,Friday,0,0,0,Historical
2022-05-21,A,548.0,497,-51.0,Saturday,1,0,0,Historical
2022-05-21,AB,125.0,127,2.0,Saturday,1,0,0,Historical
2022-05-21,B,589.0,582,-7.0,Saturday,1,0,0,Historical
2022-05-21,O,952.0,863,-89.0,Saturday,1,0,0,Historical
2022-05-22,A,836.0,722,-114.0,Sunday,1,0,0,Historical
2022-05-22,AB,178.0,150,-28.0,Sunday,1,0,0,Historical
2022-05-22,B,849.0,756,-93.0,Sunday,1,0,0,Historical
2022-05-22,O,1481.0,1251,-230.0,Sunday,1,0,0,Historical
2022-05-23,A,323.0,304,-19.0,Monday,0,0,0,Historical
2022-05-23,AB,50.0,60,10.0,Monday,0,0,0,Historical
2022-05-23,B,361.0,325,-36.0,Monday,0,0,0,Historical
2022-05-23,O,518.0,447,-71.0,Monday,0,0,0,Historical
2022-05-24,A,398.0,357,-41.0,Tuesday,0,0,0,Historical
2022-05-24,AB,88.0,72,-16.0,Tuesday,0,0,0,Historical
2022-05-24,B,404.0,399,-5.0,Tuesday,0,0,0,Historical
2022-05-24,O,592.0,589,-3.0,Tuesday,0,0,0,Historical
2022-05-25,A,338.0,402,64.0,Wednesday,0,0,0,Historical
2022-05-25,AB,89.0,89,0.0,Wednesday,0,0,0,Historical
2022-05-25,B,386.0,429,43.0,Wednesday,0,0,0,Historical
2022-05-25,O,608.0,673,65.0,Wednesday,0,0,0,Historical
2022-05-26,A,410.0,357,-53.0,Thursday,0,0,0,Historical
2022-05-26,AB,109.0,89,-20.0,Thursday,0,0,0,Historical
2022-05-26,B,495.0,398,-97.0,Thursday,0,0,0,Historical
2022-05-26,O,691.0,659,-32.0,Thursday,0,0,0,Historical
2022-05-27,A,251.0,300,49.0,Friday,0,0,0,Historical
2022-05-27,AB,79.0,87,8.0,Friday,0,0,0,Historical
2022-05-27,B,279.0,364,85.0,Friday,0,0,0,Historical
2022-05-27,O,456.0,552,96.0,Friday,0,0,0,Historical
2022-05-28,A,427.0,480,53.0,Saturday,1,0,0,Historical
2022-05-28,AB,94.0,123,29.0,Saturday,1,0,0,Historical
2022-05-28,B,472.0,520,48.0,Saturday,1,0,0,Historical
2022-05-28,O,754.0,906,152.0,Saturday,1,0,0,Historical
2022-05-29,A,670.0,642,-28.0,Sunday,1,0,0,Historical
2022-05-29,AB,134.0,140,6.0,Sunday,1,0,0,Historical
2022-05-29,B,663.0,645,-18.0,Sunday,1,0,0,Historical
2022-05-29,O,1163.0,1083,-80.0,Sunday,1,0,0,Historical
2022-05-30,A,246.0,290,44.0,Monday,0,0,0,Historical
2022-05-30,AB,49.0,50,1.0,Monday,0,0,0,Historical
2022-05-30,B,265.0,309,44.0,Monday,0,0,0,Historical
2022-05-30,O,411.0,495,84.0,Monday,0,0,0,Historical
2022-05-31,A,357.0,377,20.0,Tuesday,0,0,0,Historical
2022-05-31,AB,88.0,121,33.0,Tuesday,0,0,0,Historical
2022-05-31,B,484.0,396,-88.0,Tuesday,0,0,0,Historical
2022-05-31,O,646.0,682,36.0,Tuesday,0,0,0,Historical
2022-06-01,A,407.0,343,-64.0,Wednesday,0,0,0,Historical
2022-06-01,AB,111.0,63,-48.0,Wednesday,0,0,0,Historical
2022-06-01,B,464.0,354,-110.0,Wednesday,0,0,0,Historical
2022-06-01,O,698.0,590,-108.0,Wednesday,0,0,0,Historical
2022-06-02,A,310.0,324,14.0,Thursday,0,0,0,Historical
2022-06-02,AB,74.0,70,-4.0,Thursday,0,0,0,Historical
2022-06-02,B,352.0,396,44.0,Thursday,0,0,0,Historical
2022-06-02,O,493.0,587,94.0,Thursday,0,0,0,Historical
2022-06-03,A,296.0,214,-82.0,Friday,0,0,0,Historical
2022-06-03,AB,76.0,55,-21.0,Friday,0,0,0,Historical
2022-06-03,B,339.0,216,-123.0,Friday,0,0,0,Historical
2022-06-03,O,527.0,343,-184.0,Friday,0,0,0,Historical
2022-06-04,A,553.0,479,-74.0,Saturday,1,0,0,Historical
2022-06-04,AB,121.0,118,-3.0,Saturday,1,0,0,Historical
2022-06-04,B,555.0,542,-13.0,Saturday,1,0,0,Historical
2022-06-04,O,841.0,820,-21.0,Saturday,1,0,0,Historical
2022-06-05,A,629.0,673,44.0,Sunday,1,0,0,Historical
2022-06-05,AB,151.0,140,-11.0,Sunday,1,0,0,Historical
2022-06-05,B,729.0,682,-47.0,Sunday,1,0,0,Historical
2022-06-05,O,1198.0,1175,-23.0,Sunday,1,0,0,Historical
2022-06-06,A,376.0,350,-26.0,Monday,0,1,0,Historical
2022-06-06,AB,104.0,60,-44.0,Monday,0,1,0,Historical
